67	36592	1.32	1.6	7.3	12.7
68	36593	1.50	1.2	9.5	12.7
69	36594	0.00	1.4	10.4	13.7
70	36595	0.43	1.1	8.2	12
71	36596	0.00	1.4	7.4	10.3
72	36597	0.00	1.1	4.6	12.6
73	36598	0.10	1.0	4.7	11
74	36599	3.27	1.2	6.2	12.6
75	36600	0.14	1.5	3.4	8.3
76	36601	0.13	1.1	7.2	11.2
77	36602	0.10	1.0	4	10
78	36603	2.24	1.3	5.2	8
79	36604	0.27	1.1	2.6	8.1
80	36605	0.14	1.2	1.5	10.3
81	36606	0.14	1.6	-0.1	13
82	36607	0.13	2.0	2.4	15.3
83	36608	2.62	2.1	2.5	16
84	36609	4.39	1.5	9.1	12.9
85	36610	2.93	1.7	6.2	12.5
86	36611	0.81	1.3	3.7	9.5
87	36612	5.55	1.0	2.2	7.9
88	36613	2.44	1.3	3.5	6.4
89	36614	0.10	1.0	3.3	7.2
90	36615	0.00	0.9	5.8	7.4
91	36616	1.84	1.0	5	8.6
92	36617	1.03	1.5	4.5	10.2
93	36618	0.00	2.1	6.3	14.4
94	36619	0.56	2.6	7	17
95	36620	1.54	1.7	4.7	12.4
96	36621	0.00	1.7	3	7.4
97	36622	0.00	2.5	0.2	10.2
98	36623	0.00	2.4	2	12.5
99	36624	0.00	2.3	0.9	13.7
100	36625	0.00	3.5	7.3	15.9
101	36626	0.00	3.0	3.5	11.9
102	36627	3.00	1.8	-0.1	9.5
103	36628	8.84	1.5	3.8	8.3
104	36629	0.52	1.3	3.3	7.3
105	36630	4.38	2.0	3.7	11.4
106	36631	2.67	1.9	6.3	11.4
107	36632	1.45	2.8	3.5	13.3
108	36633	3.40	2.9	8.3	14.4
109	36634	0.00	2.5	6.7	14.4
110	36635	0.00	2.3	7.2	14.7
111	36636	2.94	2.3	8	17.5
112	36637	7.36	3.2	10.8	17.5
113	36638	6.56	1.7	10.4	15.8
114	36639	3.83	1.3	10.1	12.1
115	36640	0.23	2.5	6.7	15.5
116	36641	0.00	3.5	9.7	18.8
117	36642	0.06	2.6	11.8	18.1
118	36643	9.65	2.0	9.6	16
119	36644	1.32	2.1	11	18.7
120	36645	0.56	2.1	9.6	16.4
121	36646	0.00	1.8	10.8	16.2
122	36647	0.00	1.7	11.1	15.5
123	36648	0.23	1.3	10.3	12
124	36649	0.00	1.2	9	11.1
